January,Ιανουάριος
February,Φεβρουάριος
March,Μάρτιος
April,Απρίλιος
May,Μάιος
June,Ιούνιος
July,Ιούλιος
August,Αύγουστος
September,Σεπτέμβριος
October,Οκτώβριος
November,Νοέμβριος
December,Δεκέμβριος
